artist_id,title,cover_pic,created_at,spty_url,spty_uri,type
3,Brylho,https://i.scdn.co/image/ab67616d0000b273c40966679cbd96fa47e0e59c,1983 18:52:22,https://open.spotify.com/album/20CZdrYcOB20e4gt16OpNY,spotify:album:20CZdrYcOB20e4gt16OpNY,album
1,Sunshine,https://i.scdn.co/image/ab67616d0000b27391c55bc3286e47a3ed122a4d,2017-12-01 04:52:53,https://open.spotify.com/album/4gP5HYqMorQT7rSoSPPfIF,spotify:album:4gP5HYqMorQT7rSoSPPfIF,single
4,Sunshine (My Girl),https://i.scdn.co/image/ab67616d0000b27342401c4a9e13cddc69e34ffd,2023-09-01 17:46:54,https://open.spotify.com/album/7AE0HaidGUaRBSmIZmJ8As,spotify:album:7AE0HaidGUaRBSmIZmJ8As,single
4,Ain't No Sunshine (feat. Jasmine Pace),https://i.scdn.co/image/ab67616d0000b2730b5d12c0b5dac5c99f181d52,2021-07-30 03:05:43,https://open.spotify.com/album/6EoWcArWFprS0ORf4oixfd,spotify:album:6EoWcArWFprS0ORf4oixfd,single
14,Lights Are On (Instrumental),https://i.scdn.co/image/ab67616d0000b27349f70a853013632d07743d9f,2021-11-05 18:51:16,https://open.spotify.com/album/6k1xOgh9kZird5j4VNkPBd,spotify:album:6k1xOgh9kZird5j4VNkPBd,single
2,Flashback,https://i.scdn.co/image/ab67616d0000b273f3489fa9edf77c90aa8ac28f,2009-01-01 21:28:49,https://open.spotify.com/album/2p0nOVuLQbbAdXNKiaw48R,spotify:album:2p0nOVuLQbbAdXNKiaw48R,album
9,Lights (Sped Up Version),https://i.scdn.co/image/ab67616d0000b273bb4cc06a0334303c3684b776,2022-07-01 07:21:01,https://open.spotify.com/album/3UE88cPSfoh6NTK5xhBGtR,spotify:album:3UE88cPSfoh6NTK5xhBGtR,single0,Românticas Anos 80,https://i.scdn.co/image/ab67616d0000b2735c84bb5782c20e7ce5f7571a,2019-02-15 23:36:56,https://open.spotify.com/album/79WstOylBF1QpisjWDNUdG,spotify:album:79WstOylBF1QpisjWDNUdG,compilation
14,The Best Of Men At Work: Contraband,https://i.scdn.co/image/ab67616d0000b273d6a1f7a12629154fa274631f,1996-02-01 06:31:32,https://open.spotify.com/album/6GYIy1SuhPDrugCZ5yNeQy,spotify:album:6GYIy1SuhPDrugCZ5yNeQy,compilation
7,Stay on These Roads,https://i.scdn.co/image/ab67616d0000b27310816799318a67035593e8df,1988-05-03 21:53:20,https://open.spotify.com/album/6lka22PtQOmCt5ri8GPSZm,spotify:album:6lka22PtQOmCt5ri8GPSZm,album
9,Take On Me (2017 Acoustic),https://i.scdn.co/image/ab67616d0000b273db1496b5e1d605c2fd7d70d9,2017-12-01 04:09:02,https://open.spotify.com/album/475VP8QRLP0eQ5wfeyrCS1,spotify:album:475VP8QRLP0eQ5wfeyrCS1,single
10,The Age of Consent,https://i.scdn.co/image/ab67616d0000b2732ec4aea38b44eba9756767fa,1984-10-15 23:58:04,https://open.spotify.com/album/6OMYQUITdN6wBaWfEtgooI,spotify:album:6OMYQUITdN6wBaWfEtgooI,album
7,Scoundrel Days (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b2739126fb3b1b0c4ec47ab659b5,1986-10-06 10:45:11,https://open.spotify.com/album/0Or3lqjBWQAfmyigntPSL6,spotify:album:0Or3lqjBWQAfmyigntPSL6,album
10,Noel,https://i.scdn.co/image/ab67616d0000b273d0597a27884b22e6f16ef1b0,1988-03-07 08:18:54,https://open.spotify.com/album/2rI4eHlCr3XtAowidoljat,spotify:album:2rI4eHlCr3XtAowidoljat,album
2,História de Amor,https://i.scdn.co/image/ab67616d0000b2730c0fb4923347d6f229f16df7,2015-11-07 00:43:20,https://open.spotify.com/album/1wLFJkXUyQYuIeovNZ11y4,spotify:album:1wLFJkXUyQYuIeovNZ11y4,album
4,Climbing!,https://i.scdn.co/image/ab67616d0000b273411cacfc3518a9f2c4a670f6,1970 22:16:11,https://open.spotify.com/album/2tWvZmP9EVRYqmWyJPLzjP,spotify:album:2tWvZmP9EVRYqmWyJPLzjP,album
1,Mountains,https://i.scdn.co/image/ab67616d0000b273f4796ade02dd06fd99ef2e23,2024-11-08 11:05:57,https://open.spotify.com/album/2Dn9keQFXxorvxDRfViOX9,spotify:album:2Dn9keQFXxorvxDRfViOX9,single
